Pre,day00,day01,Post
Travelled on,2,0,buses
Travelled on,1,0,planes
Travelled on,3,0,trains
Travelled on,0,0,metro trains
Travelled on,0,0,scenic trains
Travelled on,0,0,bullet trains
Walked,"8,000",0,steps
Walked,0,0,km
Cycled,0,0,km
Cycled for,0,0,hours
Collected,2,0,stamps and goshuin
Visited,0,0,shrines
Visited,0,0,temples
Visited,0,0,parks and gardens
Crossed,4,0,bridges
Soaked in,0,0,onsens or hot spring baths
Drank,2,0,cups of tea
Drank,2,0,beers
Drank,1,0,glasses of sake
Ate,0,0,rice balls
Ate,1,0,bowls of noodles
Ate,2,0,wagashi and pastries
Ate,0,0,ice creams
Spotted,0,0,cute animals
